"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","中世"
1311114800,13111,"148","みわいつくしまじんじゃづか","三輪厳島神社塚","大田区 大森東四丁目","[中世]","墳墓","","陶器（常滑壷）　カワラケ　土師質土器　擂鉢　土錘　瓦　板碑　銭貨",139.7364313,35.56703332,"1"
1311115300,13111,"153","ちょうおんじいせき","長遠寺遺跡","大田区 南馬込五丁目","[中世]","包蔵地・その他（板碑出土地）","","板碑",139.7094886,35.59103109,"1"
1311116200,13111,"162","さんぼんまつづか","三本松塚","大田区 北馬込二丁目","[中世]","その他（塚）","","",139.7107203,35.59649433,"1"
1311116300,13111,"163","にったよしおきづか","新田義興塚","大田区 矢口一丁目","[中世]","墳墓・その他（塚）","","刀子　刀　懸神",139.6906627,35.56506429,"1"
1311116400,13111,"164","かなやまじんじゃづか","金山神社塚","大田区 大森西二丁目","[中世]","その他（塚）","","",139.7301142,35.57581576,"1"
1311116500,13111,"165","おおざくらおおつか","大桜大塚","大田区 南久が原二丁目","[中世]","その他（塚）","","土器　板碑",139.6860204,35.57527545,"1"
1311117000,13111,"170","さんのうづか","山王塚","大田区 山王一丁目","[中世]","塚","[中世]溝","陶器",139.7212286,35.59318545,"1"
1311117200,13111,"172","いけがみにちょうめ1ばんいせき","池上二丁目1番遺跡","大田区 池上二丁目","[縄文時代（前期）][中世][近世]","包蔵地","[縄文時代]炉穴　[近世]供養塔　石組　石畳","縄文土器　カワラケ　蔵骨器　甕棺　板碑　石塔　経石",139.7038385,35.58116395,"1"
1311118200,13111,"182","きねんじづか","祈念寺塚","大田区 大森北一丁目","[中世]","墳墓","","",139.7292311,35.58552474,"1"
1311118300,13111,"183","うちかわこうちかいづか","内川耕地貝塚","大田区 大森北六丁目","[中世]","貝塚","","",139.7336619,35.57917748,"1"
1311118700,13111,"187","みょうれんづか","妙蓮塚","大田区 下丸子二丁目","[中世]","墳墓","","",139.6860345,35.56790833,"1"
1311118900,13111,"189","かまたやしきあと","鎌田屋敷跡","大田区 東矢口二丁目","[中世]","屋敷","","",139.7018703,35.56481887,"1"
1311119000,13111,"190","やまぶしぎいせき","山伏木遺跡","大田区 東矢口二丁目","[中世]","包蔵地","","",139.7005613,35.56464432,"1"
1311119100,13111,"191","じゅっきみょうじんづか","十騎明神塚","大田区 矢口二丁目","[中世]","墳墓","","",139.6917637,35.56295117,"1"
1311119900,13111,"199","みょうでんじいせき","妙典寺遺跡","大田区 蒲田二丁目","[中世]","包蔵地・その他（板碑出土地）","","",139.7247515,35.5674357,"1"
1311120800,13111,"208","にしろくごういっちょうめ22ばんかいづか","西六郷一丁目22番貝塚","大田区 西六郷一丁目","[奈良時代][平安時代][中世]","貝塚","","",139.7065417,35.55395887,"1"
1311122200,13111,"222","もりにゅうどうづか","森入道塚","大田区 南六郷二丁目","[中世]","墳墓","","",139.7212147,35.54592805,"1"
1311122600,13111,"226","うめだいせき","梅田遺跡","大田区 南馬込六丁目","[平安時代][中世]","墳墓","地下式坑","人骨（1体）",139.7058846,35.58289697,"1"
1311200300,13112,"3","そしがやおおみちきたいせき","祖師谷大道北遺跡","世田谷区 上祖師谷六丁目　上祖師谷七丁目　給田一丁目","[旧石器時代][縄文時代（中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック　[縄文時代]住居　竪穴　[古墳時代]住居　[中世][近世]井戸　地下式土坑　[時期不明]ピット　溝","ナイフ形石器　削器　縄文土器　石器　土師器　鉄鏃　陶器　カワラケ　土師質土器　羽釜　内耳鍋　鉄片　石臼　板碑　漆器　桶",139.596436,35.659981,"1"
1311200600,13112,"6","とうがくいんいせき","東覚院遺跡","世田谷区 千歳台四丁目　 千歳台五丁目","[中世][近世]","包蔵地","[中世]地下式土壙","朱塗土器　板碑",139.6124427,35.65667294,"1"
1311200700,13112,"7","つりがねいけきたいせき","釣鐘池北遺跡","世田谷区 上祖師谷三丁目　 祖師谷六丁目","[縄文時代（早期～晩期）][平安時代][中世][近世]","集落","[縄文時代]住居　集石土坑　土坑　ピット　[平安時代][中世][近世]竪穴　ピット　土坑　溝　炭窯","縄文土器　打斧　磨斧　石鏃　土製円板　大珠　土師器　須恵器　土師質土器　陶磁器　カワラケ　銭貨",139.6035377,35.65423201,"1"
1311201800,13112,"18","しものしんめいいせき","下神明遺跡","世田谷区 成城一丁目　成城三丁目","[旧石器時代][縄文時代（早期・中期～後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック　ブロック　礫群　[縄文時代]土坑　ピット　土坑　[古墳時代]住居址　[平安時代]住居址　[近世]溝　土坑　ピット　溝","（旧石器）石器・剥片　（縄文）縄文土器・石器　（古墳）土師器・石器　（平安）土師器・須恵器・砥石　（近世）煙管",139.5990011,35.63509307,"1"
1311201900,13112,"19","かみのしんめいいせき","上神明遺跡","世田谷区 成城四丁目　 成城五丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代][古墳時代][平安時代][中世][近世]","集落","[縄文時代]住居　土坑　[弥生時代][古墳時代]住居　ピット群　方形周溝墓","石器　縄文土器　弥生土器　土師器　須恵器　鉄製品　土製品",139.5923661,35.6414265,"1"
1311204700,13112,"47","きぬたおおつか","砧大塚","世田谷区 砧公園一丁目","[中世]","その他（塚）","移築保存","陶器　カワラケ　銭貨",139.621231,35.631836,"1"
1311204800,13112,"48","うえのだいいせき","上之台遺跡","世田谷区 砧八丁目　 祖師谷三丁目","[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][古墳時代][奈良時代][中世]","集落","[縄文時代]住居　集石　集石土坑　土坑　[古墳時代]住居　[時期不明]溝　段状遺溝","石器　縄文土器　石器　焼礫　弥生土器　土師器　須恵器　鉄鏃　鉄製品　青銅製品　泥人形",139.604996,35.64027,"1"
1311205200,13112,"52","どうがやといせき","堂ヶ谷戸遺跡","世田谷区 岡本一丁目　 岡本二丁目　 岡本三丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居　集石　集石土坑　土坑　ピット　[弥生時代][古墳時代][奈良時代][平安時代]住居　竪穴　[近世]溝","石器　縄文土器　弥生土器　土製品　土師器　須恵器　鉄製品　銅鏃　玉類　陶磁器　砥石　煙管",139.620575,35.624981,"1"
1311205300,13112,"53","はちまんやまいせき","八幡山遺跡","世田谷区 八幡山一丁目　 八幡山二丁目","[縄文時代（早期～後期）][中世][近世]","集落","[縄文時代]住居　[近世]竪穴　井戸　炭窯","縄文土器　石器　石皿　台石　砥石　土錘　陶器　瓦　砥石　石臼　鉄製品",139.62178,35.660549,"1"
1311205800,13112,"58","むかいやまいせき","向山遺跡","世田谷区 桜上水三丁目","[旧石器時代][縄文時代（中期）][中世][近世]","集落","[縄文時代]住居　竪穴　土坑　ピット　[中世]井戸　溝","",139.633484,35.660751,"1"
1311208000,13112,"80","しんぱちやまががわいせき","新八山賀川遺跡","世田谷区 桜上水五丁目","[中世]","包蔵地","","板碑",139.6273,35.66404,"1"
1311208500,13112,"85","たもんやまいせき・みしゅくじょうあと","多聞山遺跡・三宿城跡","世田谷区 三宿二丁目","[縄文時代（早期～後期）][古墳時代][中世][近世]","集落 城館","[縄文時代]炉 土坑 [古墳時代]住居 [中世]溝","縄文土器 石器 土師器 炭化物",139.6755,35.65216,"1"
1311208800,13112,"88","せたがやじょうせき","世田谷城跡","世田谷区 豪徳寺二丁目 梅丘二丁目","[中世]","城館","※遺跡範囲のすべてが、東京都指定旧跡世田谷城跡となっています。","陶器 板碑",139.6476,35.64749,"1"
1311210500,13112,"105","せたいせき・せたじょうせき","瀬田遺跡・瀬田城跡","世田谷区 瀬田一丁目 瀬田二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落・城館","[旧石器時代]ブロック 礫群 [縄文時代]住居 土坑 ピット [弥生時代～古墳時代]住居 [奈良～平安時代]住居 [近世]ピット 土坑 井戸 溝 配石","石器 縄文土器 石器 礫 けつ状耳飾 弥生土器 土師器 須恵器 陶器 灰釉陶器 土製品 陶磁器",139.6318,35.61599,"1"
1311210700,13112,"107","しもやまいせき","下山遺跡","世田谷区 瀬田四丁目 瀬田五丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック 礫群 [縄文時代]住居 集石 炉穴 土坑 ピット [弥生時代]環濠 住居 方形周溝墓 墓壙 甕棺 溝状遺構 [古墳時代]住居 円形周溝墓 [奈良時代][平安時代]住居","ナイフ形石器 尖頭器 礫器 縄文土器 打斧 石鏃 土錘 けつ状耳飾 弥生土器 抉入石斧 石包丁 石皿 土師器 須恵器 土製紡錘車 土製勾玉 ソロバン玉状土製品 石櫃 陶磁器 カワラケ 瓦質土器 煙管 銭貨",139.6244,35.62158,"1"
1311211100,13112,"111","しょうげんづか（にしおか2ごうふん）","将監塚（西岡2号墳）","世田谷区 瀬田四丁目","[中世][近世]","塚","","",139.6283,35.61972,"1"
1311211200,13112,"112","しもやまきたいせき","下山北遺跡","世田谷区 岡本一丁目","[旧石器時代][縄文時代（早期～前期）][弥生時代][古墳時代][中世][近世]","集落","[旧石器時代]ブロック [縄文時代]住居 集石 土坑 [弥生時代]住居 溝 [古墳時代]住居 [中世]掘立柱建物 井戸 [近世]建物 門","石器 縄文土器 石器 弥生土器 土師器 ガラス玉",139.6227,35.62252,"1"
1311211700,13112,"117","かまがやいせき","鎌ヶ谷遺跡","世田谷区 瀬田一丁目","[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック 礫群 [縄文時代]土坑 ピット [弥生時代][古墳時代]V字溝 溝状遺構","縄文土器 石器 弥生土器 土師器 須恵器 陶器",139.6336,35.6134,"1"
1311212100,13112,"121","やがわうえいせき","谷川上遺跡","世田谷区 野毛一丁目","[旧石器時代][縄文時代（中期）][古墳時代][中世][近世]","集落","[縄文時代]住居 ピット [中世][近世]竪穴土坑 溝","縄文土器 石器 土師器 陶磁器",139.6451,35.60425,"1"
1311212300,13112,"123","しものげいせき","下野毛遺跡","世田谷区 野毛一丁目 野毛二丁目","[旧石器時代][縄文時代（早期～後期）][中世][近世]","集落","[縄文時代]住居 集石 炉 土坑","縄文土器 石器 剥片 礫 陶器",139.6424,35.60424,"1"
1311213100,13112,"131","にしおか3ごうふん","西岡3号墳","世田谷区 等々力三丁目","[中世]","その他（塚）","","鉄鏃 鉄刀 仏像",139.6475,35.61235,"1"
1311213800,13112,"138","はちまんづか（にしおか14ごうふん・しんめいづか）こふん","八幡塚(西岡14号墳・神明塚)古墳","世田谷区 尾山台二丁目","[古墳時代][中世]","古墳","円墳","土師器 ヤリガンナ <U+9299>帯金具 刀身 石製模造品 銅鏡 直刀 鉄槍 鉄鏃 ガラス小玉",139.6552,35.60042,"1"
1311214300,13112,"143","すわやまいせき","諏訪山遺跡","世田谷区 奥沢一丁目 奥沢三丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][平安時代][中世][近世]","集落","[縄文時代]住居 竪穴 集石 集石土坑 焼土 土坑 ピット [平安時代]土坑 火葬墓 [中世]焼土 溝 [近世]溝","縄文土器 石器 土錘 耳栓 土製品 礫 土師器 須恵器 土師質土器 陶器 陶磁器 鉄板 人骨",139.6748,35.60334,"1"
1311215900,13112,"159","きたみじんやいせき","喜多見陣屋遺跡","世田谷区 喜多見一丁目 喜多見三丁目 喜多見四丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（中期～後期][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック [縄文時代]住居 炉穴 土坑 [弥生時代]住居 溝 [古墳時代]住居 竪穴 方形周溝墓 周溝 棺 墓壙 [奈良～平安時代]住居 地下式土坑 [中世～近世]掘立柱建物 ピット 礎石 土坑 井戸 溝 堀 池","石器 縄文土器 弥生土器 土師器 須恵器 埴輪 臼玉 ガラス玉 灰釉 緑釉 陶磁器 土師質土器 鉄製品 鉄鏃 釘 茶臼 羽口 瓦 板碑 銭貨 胞衣容器 人骨 灰釉陶器 円筒埴輪 土製品 鉱滓",139.5966,35.6261,"1"
1311220700,13112,"207","ときわづか","常盤塚","世田谷区 上馬五丁目","[中世]","塚","※遺跡範囲のすべてが、世田谷区指定史跡常盤塚となっています。","鏡 くし",139.6587008,35.64156211,"1"
1311220800,13112,"208","あみだまるいせき","阿弥陀丸遺跡","世田谷区 弦巻二丁目","[中世]","包蔵地","","甕 石櫃 板碑",139.6532077,35.63405636,"1"
1311220900,13112,"209","せきやづか","関屋塚","世田谷区 桜新町一丁目","[中世][近世]","塚","","銭貨",139.6405734,35.62920097,"1"
1311221000,13112,"210","ながさきづかいせき","長崎塚遺跡","世田谷区 桜新町一丁目","[中世][近世]","その他（塚）","","陶磁器",139.641466,35.62864286,"1"
1311221200,13112,"212","せんぶづかいせき","千部塚遺跡","世田谷区 深沢五丁目","[中世][近世]","その他（塚）","","土師器",139.6508388,35.62021492,"1"
1311221800,13112,"218","いなりざかいせき","稲荷坂遺跡","世田谷区 上野毛二丁目 上野毛三丁目","[中世]","包蔵地","","板碑",139.6357599,35.61034736,"1"
1311222400,13112,"224","どうのさかいせき","堂の坂遺跡","世田谷区 尾山台一丁目 尾山台二丁目","[中世]","出土地","","板碑 人骨",139.6552733,35.59994465,"1"
1311222700,13112,"227","おおひらとりであと","大平砦跡","世田谷区 奥沢一丁目 奥沢三丁目","[中世]","城館","","",139.677948,35.601883,"1"
1311222800,13112,"228","ふかさわじょうあと","深沢城跡","世田谷区 中町二丁目 等々力三丁目 等々力八丁目","[中世]","城館","","",139.6476802,35.61371197,"1"
1311223700,13112,"237","しものげはらいなりいせき","下野毛原稲荷遺跡","世田谷区 野毛一丁目","[中世]","単独出土地","","板碑",139.644508,35.60183593,"1"
1311223800,13112,"238","はちまんやまいなりまえいせき","八幡山稲荷前遺跡","世田谷区 八幡山一丁目","[縄文時代（早期・中期）][中世][近世]","集落","[縄文時代]土坑 ピット [中世][近世]溝 井戸 土坑 ピット","縄文土器 石器 土製品 陶磁器 土師質土器 煙管 鉄製石 碁石",139.6198115,35.66199384,"1"
1311223900,13112,"239","かねづか","カネ塚","世田谷区 南烏山二丁目","[中世][近世]","塚","","陶器 石碑",139.6082034,35.66783259,"1"
1311224000,13112,"240","こがやいせき","児ヶ谷遺跡","世田谷区 八幡山三丁目","[中世][近世]","包蔵地","","土師器 陶磁器",139.6136568,35.66900123,"1"
1311224300,13112,"243","ほしのづか","星野塚","世田谷区 船橋五丁目","[中世]","塚","","",139.6265406,35.65754063,"1"
1311224500,13112,"245","いしいどづか","石井土塚","世田谷区 大蔵三丁目","[古墳時代][奈良時代][平安時代][中世][近世]","塚？","方墳","",139.6073487,35.63401113,"1"
1311224800,13112,"248","おかもとはらいせき","岡本原遺跡","世田谷区 岡本一丁目","[縄文時代（早期～中期）][古墳時代][中世][近世]","包蔵地","[古墳時代]溝","縄文土器 土師器 紡錘車 陶磁器",139.620332,35.62631979,"1"
1311224900,13112,"249","せたうえはらいせき","瀬田上原遺跡","世田谷区 瀬田五丁目","[奈良時代][平安時代][中世]","包蔵地","","土師器 須恵器 カワラケ",139.6246306,35.62443671,"1"
1311226400,13112,"264","きたみしみずいせき","喜多見清水遺跡","世田谷区 喜多見五丁目","[縄文時代（早期・中期～後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[奈良時代][平安時代]住居 [中世][近世]土坑 地下式土坑 井戸 溝","縄文土器 土師器 須恵器 土師質土器 陶磁器 石臼 鉄製品",139.6029495,35.62791983,"1"
1311226500,13112,"265","しものだやまいせき","下野田山遺跡","世田谷区 喜多見六丁目","[旧石器時代][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック","石器 焼礫 土師器 陶器 カワラケ",139.6039245,35.6300624,"1"
1311227800,13112,"278","からすやまじょう（とりで）せき・からすやまみなみはらいせき","烏山城(砦)跡・烏山南原遺跡","世田谷区 南烏山一丁目 南烏山二丁目","[旧石器時代][縄文時代（中期）][中世][近世]","集落・城館","[旧石器時代]ブロック 礫群 [近世]溝状遺構 [時期不明]溝","石器 焼礫 縄文土器 陶磁器",139.6085982,35.6676234,"1"
1311228000,13112,"280","きたみなかどおりいせき","喜多見中通遺跡","世田谷区 喜多見七丁目","[縄文時代（中期～晩期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","","土師器",139.5953277,35.63203595,"1"
1311228100,13112,"281","たなおしいせき","田直遺跡","世田谷区 大蔵五丁目","[旧石器時代][縄文時代(早期～後期)][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック [縄文時代]住居址 土坑 炉穴 集石 ピット 配石 遺物集中部 土器埋設土坑 [古代以降]溝 土坑 ピット [中世以降]土坑 [近世以降]段切り ピット","[旧石器時代]石器 [縄文時代]土器 石器 土製品 石製品（装飾品） [古代以降]土師器 須恵器 [中世以降]陶磁器 [近世以降]陶磁器",139.6064007,35.62882062,"1"
1311228200,13112,"282","しもそしがやまえいせき","下祖師谷前遺跡","世田谷区 成城九丁目","[中世]","包蔵地","","土師質土器",139.5975293,35.65114471,"1"
1311228500,13112,"285","うなねほんむらいせき","宇奈根本村遺跡","世田谷区 宇奈根二丁目","[古墳時代][奈良時代][平安時代][中世][近世]","包蔵地","","土師器 陶磁器",139.6021049,35.62118808,"1"
1311228800,13112,"288","おかもとまえこうちいせき","岡本前耕地遺跡","世田谷区 岡本二丁目","[縄文時代（早期～晩期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]集石 杭列 [近世]溝","縄文土器 石器 土製品 石製品 木製品 浮子 弥生土器 土師器 須恵器 灰釉 陶磁器",139.6192162,35.62029178,"1"
1311229600,13112,"296","とどろきはらいせき","等々力原遺跡","世田谷区 等々力一丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][中世][近世]","集落","[縄文時代]住居 土坑 [弥生時代]住居","石器 縄文土器 石器 弥生土器 陶磁器 銭貨",139.6479353,35.60406427,"1"
1311229700,13112,"297","とどろきねいせき","等々力根遺跡","世田谷区 等々力一丁目","[旧石器時代][縄文時代（早期～後期）][古墳時代][中世][近世]","集落","","縄文土器 石器 土製品 陶磁器 銭貨 鉄製品 土錘 砥石 瓦 土師質土器 硯 礫 埴輪 須恵器 金属製品 ガラス製品",139.6479182,35.60188694,"1"
1311232600,13112,"326","まるやまひがしいせき","丸山東遺跡","世田谷区 深沢五丁目","[縄文時代][中世][近世]","包蔵地","","",139.6481265,35.61929394,"1"
1311306600,13113,"66","しぶやじょう","渋谷城","渋谷区 渋谷三丁目","[中世]","城館","[中世]空堀　土塁","",139.7065244,35.65755713,"1"
1311309600,13113,"96","はちやまちょう・さるがくちょう17ばんいせき","鉢山町・猿楽町17番遺跡","渋谷区 鉢山町　 猿楽町","[旧石器時代][縄文時代][弥生時代][中世][近世]","集落","[旧石器時代]土坑　[縄文時代]住居　土坑　[弥生時代]環濠　住居　土坑　[中世]溝　[近世]掘立柱建物　溝","掻器　剥片　縄文土器　打斧　石鏃　削器　弥生土器　陶磁器",139.6984231,35.65017962,"1"
1311404400,13114,"44","かたやまいせき","片山遺跡","中野区 松が丘二丁目","[縄文時代（早期・後期）][弥生時代][中世][近世]","集落","[弥生時代][古墳時代]竪穴住居跡　土坑　溝状遺構","縄文土器　打製石斧　磨製石斧　礫器　石鏃　砥石　弥生土器",139.6697081,35.72252846,"1"
1311409600,13114,"96","なかのちょうじゃやしき","中野長者屋敷","中野区 本町二丁目","[中世]","城館","","",139.6817144,35.69361796,"1"
1311409900,13114,"99","まつがおかいせき","松が丘遺跡","中野区 松が丘一丁目","[縄文時代（早期～後期）][中世][近世]","集落跡","[縄文時代]住居?　土坑　[近世]土坑　溝","縄文土器　打斧　石鏃　石槍　礫器　石皿　磨石　敲石　削器　土錘　土製円板　弥生土器　土師器　管状土錘　陶磁器　砥石　土製品　くし　煙管　銭貨",139.673313,35.72110693,"1"
1311504700,13115,"47","やくらだいみなみいせき","矢倉台南遺跡","杉並区 成田西四丁目　 荻窪一丁目","[縄文時代（草創期～後期）][弥生時代][古墳時代][中世]","集落","[古墳時代]住居　[縄文時代]住居跡　[中世]溝状遺構","縄文土器　打斧　石鏃　石匙　石皿　弥生土器　土錘　土師器　有舌尖頭器　翡翠製石製品　須恵器　陶器　礫石器",139.626538045996,35.6936099850923,"1"
1311506300,13115,"63","むこうやまいせき","向山遺跡","杉並区 堀ノ内二丁目","[縄文時代（中期）][平安時代][中世][近世]","集落跡","[古墳時代]住居　[平安時代]住居　[近世]竪穴状遺構　柱穴列　溝状遺構","縄文土器　土師器　須恵器　支脚　紡錘車　陶器　カワラケ　板碑　陶磁器　抜型　人形　泥面子　土笛　ままごと道具",139.652159748901,35.6856518665046,"1"
1311507200,13115,"72","ほんじんやまいせき","本陣山遺跡","杉並区 堀ノ内二丁目　和田二丁目","[縄文時代（早期～中期）][弥生時代（後期）][古墳時代][中世][近世]","集落","[縄文時代]炉穴　集石　土坑　ピット　[弥生時代]住居跡　[中世][近世]掘立柱建物","（旧石器）敲石　剥片類　（縄文）土器　土製円板　（弥生）土器　ガラス小玉　（古墳時代以降）土師器　砥石　鉄環　カワラケ　陶磁器　鉄器など",139.653824,35.685158,"1"
1311507600,13115,"76","むかいのはらいせき","向ノ原遺跡","杉並区 久我山二丁目","[旧石器時代][縄文時代（早期～中期）][中世][近世][近代]","集落","[旧石器時代]ユニット　礫群　[縄文時代]集石　炉穴　土坑","ナイフ形石器　尖頭器　角錐状石器　台形様石器　掻器　彫器　縄文土器　打斧　磨斧　局部磨斧　礫器　石槍　石鏃　掻器　彫器　石錘　石皿　磨石　スタンプ形石器　石核",139.604323121186,35.6837613860418,"1"
1311507800,13115,"78","なかふくろ（やまなか）いせき","中袋（山中）遺跡","杉並区 高井戸西一丁目","[縄文時代（中期～晩期）][古墳時代][中世]","集落","[縄文時代]住居跡　土坑　[古墳時代]住居跡　[中世]地下式土坑","縄文土器　石斧　石鏃　石製品　土製品　土師器",139.613695831124,35.682032413789,"1"
1311508300,13115,"83","じゃばみいせき","蛇場美遺跡","杉並区 下高戸三丁目","[旧石器時代][縄文時代（草創期～後期）][中世][近世]","包蔵地","[縄文時代]炉穴　[中世][近世]溝状遺構","ナイフ形石器　角錐状石器　台形様石器　縄文土器　打斧　礫器　石槍　石鏃　掻器　削器　楔形石器　磨石　スタンプ形石器　抉入磨石　敲石　石盤　陶磁器　カワラケ",139.634899779917,35.6725989252946,"1"
1311511000,13115,"110","たかいどひがしいせき","高井戸東遺跡","杉並区 高井戸西二丁目　 高井戸東三丁目","[旧石器時代][縄文時代（草創期～後期）][古墳時代][中世][近世]","集落","[旧石器時代]ブロック　[縄文時代]陥し穴　[古墳時代]住居　[中世]地下式坑　段切り状遺構　土坑　ピット　溝状遺構","ナイフ形石器　台形石器　スクレイパー　局部磨製石斧　敲石　石棒　剥片　縄文土器　弥生土器　土師器　須恵器　陶器　瓦質土器　瓦",139.616133423463,35.6845979730205,"1"
1311512500,13115,"125","おおみやちゅうがっこういせき","大宮中学校遺跡","杉並区 堀ノ内一丁目","[中世]","地下式横穴","[弥生時代]住居　[中世]地下式土坑","弥生土器　土師器　石臼",139.648045650011,35.6868358247267,"1"
1311517400,13115,"174","ほんむらはらいせき","本村原遺跡","杉並区 和田一丁目","[縄文時代（早期～前期・後期）][弥生時代（後期）][古墳時代][中世][近世]","包蔵地","[縄文時代]ユニット　集石　土坑","縄文土器　打斧　石鏃　磨石　弥生土器　土師器　須恵器　円筒埴輪　陶磁器",139.662476702522,35.6927239541975,"1"
1311517600,13115,"176","かまくらばしうえいせき","鎌倉橋上遺跡","杉並区 浜田山一丁目　 浜田山二丁目","[旧石器時代][縄文時代（早期～後期）]　[弥生時代（後期）][古墳時代][中世][近世]","集落","[旧石器時代]礫群　ブロック　[縄文時代]住居　土坑　[弥生時代]住居　環濠","細石器　細石刃　ナイフ形石器　角錐状石器　スクレイパー　石刃　石核　細石核　縄文土器　尖頭器　打製石斧　石匙　磨石　土偶　弥生土器　石器　ミニチュア土器　被熱粘土塊　陶磁器　銭貨　鉄鏃　土師器",139.627432480931,35.6771411057286,"1"
1311518000,13115,"180","たかちほだいがくおおみやいせき","高千穂大学大宮遺跡","杉並区 大宮二丁目","[旧石器時代][縄文時代（早期・中期）][古墳時代][中世]","集落・古墳","[旧石器時代]礫群　ブロック　[縄文時代]陥し坑　土坑　[古墳時代]円墳（周溝）　住居　[中世]溝状遺構　溝　土坑","剥片　縄文土器　土師器　埴輪　鉄製品　陶磁器",139.637694092146,35.6831199973093,"1"
1311518500,13115,"185","ねがわらいせきびーちてん","根河原遺跡B地点","杉並区 和泉四丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代][中世][近世]","包蔵地","[縄文時代]礫集中部","縄文土器　弥生土器　土師器　石器　陶器　土製品　ガラス製品",139.649241505493,35.6784291440134,"1"
1311600200,13116,"2","いけぶくろひがしかいづか","池袋東貝塚","豊島区 池袋本町三丁目　 池袋本町四丁目","[縄文時代（前期）][古墳時代][奈良時代][平安時代][中世]","包蔵地・貝塚","竪穴住居址　ピット　溝状遺構　畠畝　礎石　道","縄文土器　弥生土器　石斧　石皿　凹石　敲石　土師器　須恵器　陶磁器　瓦　金属製品",139.7141473,35.74416267,"1"
1311600500,13116,"5","そめいいせき","染井遺跡","豊島区 巣鴨一丁目　 巣鴨二丁目　 巣鴨三丁目　 巣鴨四丁目　 巣鴨五丁目　 駒込一丁目　 駒込二丁目　 駒込三丁目　 駒込四丁目　 駒込五丁目　 駒込六丁目　 駒込七丁目","[縄文時代（早期～後期）][弥生時代（後期）][古墳時代][中世][近世]","包蔵地・集落・貝塚・屋敷（大名屋敷）・その他（町屋）","[縄]住居　陥し穴　[弥生時代]方形周溝墓　[中世]道路　[近世]掘立柱建物　方形竪穴　土坑　地下室　門　井戸　畝　溝　柵列　地鎮址　ピット　畝状遺構","縄文土器　石器　弥生土器　土師器　須恵器　陶磁器　舶載磁器　土製品　石製品　硝子製品　金属製品",139.7413728,35.73716819,"1"
1311601000,13116,"10","ながさきいっちょうめしゅうへんいせき","長崎一丁目周辺遺跡","豊島区 長崎一丁目　 西池袋四丁目","[中世][近世]","包蔵地","富士塚留石　大型溝　溝状遺構　長方形土坑　硬化面　円形土坑　畝跡　ゴミ穴　井戸　畝　植栽痕　礎石建物群","縄文土器　土師器　須恵器　板碑　近・現代陶磁器　富士講石碑群　縄文土器　金属製品　瓦　ガラス　金属器　銭貨　木製品",139.6951273,35.72769262,"1"
1311601200,13116,"12","ぞうしがやいせき","雑司が谷遺跡","豊島区 雑司が谷二丁目　 雑司が谷三丁目","[縄文時代（早期）][平安時代][中世][近世]","包蔵地・その他（町屋）","[近世]掘立柱建物　方形竪穴　地下室　門　植栽痕　ゴミ穴　井戸　溝　柵列　ピット　胞衣埋納遺構　甕埋設遺構　石積　溝状遺構　礎石建物　土坑","題目板碑　縄文土器　土師器　板碑　陶磁器　土器　舶載磁器　土製品　石製品　金属製品　銭貨　瓦　石製品　硝子製品　金属製品　動物遺体",139.714113,35.72075244,"1"
1320200200,13202,"2","とのがやしんでんいせき","殿ヶ谷新田遺跡","立川市 西砂町五丁目","[縄文時代（中期）][平安時代][中世]","包蔵地","畝状遺構 ピット 土杭（時代不明）","尖頭器 縄文土器 打斧 石鏃 土師器 陶器",139.3647032,35.73408838,"1"
