JASID,自治体コード,遺跡番号,ふりがな,遺跡名,住所,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13106009600,13106,96,,台東区№96遺跡,台東区 竜泉三丁目,[近世],その他（町屋・農村地）,土坑　木坑跡,磁器　陶器,139.792786,35.725433
13106009700,13106,97,うえのひろこうじいせき,上野広小路遺跡,台東区 上野一丁目　二丁目,[縄文時代][奈良時代][平安時代][中世][近世],包蔵地・その他（水路）,[近世]水路　ピット列　松杭,（縄文）土器　（古代）須恵器　（中世）陶器・土器　（近世）陶磁器・土器・瓦・骨角製品・金属製品・石製品等,139.7733395,35.71043263
13106009800,13106,98,,台東区№98遺跡,台東区 下谷一丁目,[近世],その他（町屋）,井戸跡　土坑,近世陶磁器,139.7815556,35.71755455
13106009900,13106,99,みなみもとまちいせき,南元町遺跡,台東区 蔵前二丁目,[古墳時代][奈良時代][平安時代][中世][近世][近代],包蔵地・その他（蔵屋敷・発電所）,[近世]遺構　土坑　土坑（ピット）　瓦溜　石組溝　木組施設　堀？　ピット,（古代）須恵器　（中世）陶器　（近世）陶磁器・土器・瓦・木製品・金属製品・石製品等,139.7921419,35.70293241
13106010000,13106,100,なかねぎしいせき,中根岸遺跡,台東区 根岸三丁目,[縄文時代][奈良時代][平安時代][中世][近世],包蔵地・集落・社寺・その他（農村地）,[近世]土坑　瓦溜　溝　井戸　木組施設　植栽　ピット　杭列　土坑（植栽痕）　礎石基礎,（縄文）土器　（古代）須恵器・土師器　（中世）陶器　（近世）陶磁器・土器・瓦・木製品・金属製品・石製品・ガラス・?器・ガラス製品・土製品,139.7814182,35.72382881
13106010100,13106,101,あさくさながいずみちょういせき,浅草永住町遺跡,台東区 元浅草一丁目 二丁目 東上野三丁目,[近世],社寺,[近世]溝 墓坑（木棺・甕棺・土器棺・蔵骨器）,[近世]陶磁器 木製品 金属製品 石造物,139.7828032,35.70918639
13106010200,13106,102,,台東区№102遺跡,台東区 鳥越一丁目,[奈良時代][平安時代][近世],包蔵地・屋敷,,近世陶磁器　古代土師器,139.7814303,35.70314151
13106010300,13106,103,あさくさせんぞくまちにちょうめいせき,浅草千束町二丁目遺跡,台東区 千束三丁目,[近世],集落・その他（農村地）,[近世]土坑　木組溝,（近世）陶磁器・土器・瓦・金属製品・石製品等,139.7923956,35.72275207
13106010400,13106,104,,台東区№104遺跡,台東区 東上野四丁目,[近世],社寺・その他（町屋）,,近世陶磁器等　位牌,139.7807608,35.71546333
13106010500,13106,105,,台東区№105遺跡,台東区 橋場一丁目,[奈良時代][平安時代][近世],包蔵地・社寺・その他（農村地）,[近世]墓,人骨　陶器　古銭　土師器　木棺,139.8047208,35.72369974
13106010600,13106,106,むこうやなぎはらまちいっちょうめいせき,向柳原町一丁目遺跡,台東区 浅草橋五丁目,[近世],屋敷,礎石基礎　樋基礎　井戸跡,近世陶磁器　家紋瓦,139.7816188,35.69919169
13106010700,13106,107,いけのはたしちけんちょうみなみいせき,池之端七軒町南遺跡,台東区 池之端二丁目,[奈良時代][平安時代][近世],包蔵地・社寺,[近世]墓坑　土坑　井戸　溝　木組溝　埋桶　建物基礎　地業跡　石列　竹樋,（古代）土師器　（近世）副葬品（銭貨、数珠等）　「経木」　陶磁器　墓標,139.767528,35.71315013
13106010800,13106,108,,台東区№108遺跡,台東区 清川二丁目,[近世],社寺・その他（農村地）,,近世陶磁器　木製品　瓦等,139.8013219,35.72715584
13106010900,13106,109,,台東区№109遺跡,台東区 台東三丁目,[近世],屋敷,木樋,近世陶磁器,139.7802627,35.70408465
13106011000,13106,110,,台東区№110遺跡,台東区 蔵前四丁目,[近世],社寺・その他（町屋）,墓　井戸跡　水路,早桶　木組　人骨　陶磁器　木材,139.789361,35.70275119
13106011100,13106,111,,台東区№111遺跡,台東区 上野七丁目,[近世],社寺・屋敷,墓　土坑,近世陶磁器類　墓石等石造物　人骨　木製品,139.7791073,35.7142935
13106011200,13106,112,あさくさふくいちょういせき,浅草福井町遺跡,台東区 浅草橋一丁目,[近世],屋敷・その他（町屋）,土蔵基礎　穴蔵　石組水路,近世陶磁器　木製品　金属製品,139.7843654,35.69778369
13106011300,13106,113,,台東区№113遺跡,台東区 元浅草四丁目,[近世],社寺,墓,木棺　甕棺　蔵骨器　人骨　近世陶磁器,139.7870089,35.71005059
13106011400,13106,114,,台東区№114遺跡,台東区 谷中七丁目,[奈良時代][平安時代][近世],包蔵地・社寺・その他（町屋）,[近世]地下式坑,近世陶磁器等,139.7688219,35.7268475
13106011500,13106,115,,台東区№115遺跡,台東区 千束四丁目,[近世],その他（町屋）,,近世陶磁器　瓦,139.7954168,35.72467526
13106011600,13106,116,みよしちょういせき,三好町遺跡,台東区 蔵前二丁目,[弥生時代][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・その他の墓・その他（町屋）,[古墳時代]掘立柱建物　土坑　ピット　[中世]柵列　ピット　土坑　[近世]地下室　土坑　井戸　溝　石組水路　礎石列　ピット,（古）土師器・須恵器・土製品　（中世）陶器・土器・銭　（近世）陶磁器・土器・瓦・土製品・金属製品・木製品・骨角製品・ガラス・石製品・自然遺物等,139.7933607,35.70427062
13106011700,13106,117,しばさきちょうにちょうめいせき,芝崎町二丁目遺跡,台東区 西浅草三丁目,[縄文時代][近世],包蔵地・社寺・その他（狩猟場）,[近世]方形土坑　池状遺構　建物基礎　水田跡,縄文土器　近世陶器　磁器　土器　瓦　人骨片　木製品　貝,139.7900897,35.7160342
13106011800,13106,118,,台東区№118遺跡,台東区 松が谷二丁目,[近世],社寺,墓坑,蔵骨器　木棺　甕棺　人骨,139.7874213,35.71450163
13106011900,13106,119,,台東区№119遺跡,台東区 谷中六丁目,[近世],社寺・その他（町屋）,土坑,近世陶磁器等　瓦,139.7691481,35.7217469
13106012000,13106,120,,台東区№120遺跡,台東区 下谷三丁目,[近世],社寺,墓坑,方形木棺　円形木棺　人骨　銅銭　陶磁器類,139.7855906,35.72309236
13106012100,13106,121,かっぱばしどおりいせき,合羽橋通り遺跡,台東区 松が谷二丁目 松が谷三丁目,[近世],社寺・その他（道路・水路）,石組,近世陶磁器,139.7871809,35.71483613
13106012200,13106,122,,台東区№122遺跡,台東区 元浅草三丁目,[近世],社寺・その他（町屋）,墓坑,壺　人骨　桶　古銭等　陶磁器類,139.7870433,35.70858702
13106012300,13106,123,,台東区№123遺跡,台東区 東上野五丁目,[近世],社寺,土坑　基礎遺構,陶磁器類　木製品,139.7825289,35.7121461
13106012400,13106,124,,台東区№124遺跡,台東区 松が谷二丁目,近世,社寺,墓坑　甕棺　人骨,陶磁器,139.7857561,35.71388836
13106012500,13106,125,あさくさたかはらちょういせき,浅草高原町遺跡,台東区 寿二丁目,[中世][近世],包蔵地・社寺,建物基礎　井戸跡　墓坑　廃棄土坑等,近世陶磁器　墓標　金属製品　石製品人骨等,139.7898417,35.70861966
13106012600,13106,126,,台東区№126遺跡,台東区 寿二丁目,[近世],社寺・その他（町屋）,,,139.7891894,35.70991596
13106012700,13106,127,,台東区№127遺跡,台東区 浅草一丁目,[近世],その他（町屋）,,,139.7932062,35.71210429
13106012800,13106,128,,台東区№128遺跡,台東区 寿二丁目,近世,社寺,,墓石　陶磁器,139.7884341,35.70921902
13106012900,13106,129,,台東区№129遺跡,台東区 元浅草四丁目,近世,社寺,,,139.7879703,35.70999483
13106013000,13106,130,,台東区№130遺跡,台東区 西浅草二丁目,[近世],社寺,[近世]石組甕棺墓　方形木槨　甕棺墓　円形木棺墓,[近世]陶磁器　墓石　銭貨　木製品,139.789963,35.712971
13106013100,13106,131,,台東区№131遺跡,台東区 根岸三丁目,[近世],[近世]町屋,[近世]井戸跡　土壙,[近世]陶磁器　木製品,139.7819332,35.72196134
13106013200,13106,132,,台東区№132遺跡,台東区 松が谷二丁目,[近世],社寺,[近世]土坑,[近世]陶磁器　木製品,139.7868891,35.71313571
13106013300,13106,133,,台東区№133遺跡,台東区 東上野六丁目,[近世],社寺,[近世]墓坑,甕棺　円形木棺　蔵骨器　陶磁器　金属製品　木製品　人骨,139.7832327,35.71544939
13106013400,13106,134,,台東区№134遺跡,台東区 下谷二丁目,[近世],社寺,墓坑,蔵骨器　人骨,139.7844233,35.72245129
13106013500,13106,135,,台東区№135遺跡,台東区 元浅草一丁目,[近世],屋敷,,陶磁器類,139.7821166,35.70822461
13106013600,13106,136,,台東区№136遺跡,台東区 松が谷一丁目,[近世],社寺,墓坑（木棺・甕棺・蔵骨器）,人骨　陶磁器,139.7851725,35.71197885
