JASID,自治体コード,遺跡番号,ふりがな,遺跡名,住所,時代,種別,主な遺構/概要,主な出土品
13106010700,13106,107,いけのはたしちけんちょうみなみいせき,池之端七軒町南遺跡,台東区 池之端二丁目,[奈良時代][平安時代][近世],包蔵地・社寺,[近世]墓坑　土坑　井戸　溝　木組溝　埋桶　建物基礎　地業跡　石列　竹樋,（古代）土師器　（近世）副葬品（銭貨、数珠等）　「経木」　陶磁器　墓標
13106010800,13106,108,,台東区№108遺跡,台東区 清川二丁目,[近世],社寺・その他（農村地）,,近世陶磁器　木製品　瓦等
13106010900,13106,109,,台東区№109遺跡,台東区 台東三丁目,[近世],屋敷,木樋,近世陶磁器
13106011000,13106,110,,台東区№110遺跡,台東区 蔵前四丁目,[近世],社寺・その他（町屋）,墓　井戸跡　水路,早桶　木組　人骨　陶磁器　木材
13106011100,13106,111,,台東区№111遺跡,台東区 上野七丁目,[近世],社寺・屋敷,墓　土坑,近世陶磁器類　墓石等石造物　人骨　木製品
13106011200,13106,112,あさくさふくいちょういせき,浅草福井町遺跡,台東区 浅草橋一丁目,[近世],屋敷・その他（町屋）,土蔵基礎　穴蔵　石組水路,近世陶磁器　木製品　金属製品
13106011300,13106,113,,台東区№113遺跡,台東区 元浅草四丁目,[近世],社寺,墓,木棺　甕棺　蔵骨器　人骨　近世陶磁器
13106011400,13106,114,,台東区№114遺跡,台東区 谷中七丁目,[奈良時代][平安時代][近世],包蔵地・社寺・その他（町屋）,[近世]地下式坑,近世陶磁器等
13106011500,13106,115,,台東区№115遺跡,台東区 千束四丁目,[近世],その他（町屋）,,近世陶磁器　瓦
13106011600,13106,116,みよしちょういせき,三好町遺跡,台東区 蔵前二丁目,[弥生時代][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・その他の墓・その他（町屋）,[古墳時代]掘立柱建物　土坑　ピット　[中世]柵列　ピット　土坑　[近世]地下室　土坑　井戸　溝　石組水路　礎石列　ピット,（古）土師器・須恵器・土製品　（中世）陶器・土器・銭　（近世）陶磁器・土器・瓦・土製品・金属製品・木製品・骨角製品・ガラス・石製品・自然遺物等
13106011700,13106,117,しばさきちょうにちょうめいせき,芝崎町二丁目遺跡,台東区 西浅草三丁目,[縄文時代][近世],包蔵地・社寺・その他（狩猟場）,[近世]方形土坑　池状遺構　建物基礎　水田跡,縄文土器　近世陶器　磁器　土器　瓦　人骨片　木製品　貝
13106011800,13106,118,,台東区№118遺跡,台東区 松が谷二丁目,[近世],社寺,墓坑,蔵骨器　木棺　甕棺　人骨
13106011900,13106,119,,台東区№119遺跡,台東区 谷中六丁目,[近世],社寺・その他（町屋）,土坑,近世陶磁器等　瓦
13106012000,13106,120,,台東区№120遺跡,台東区 下谷三丁目,[近世],社寺,墓坑,方形木棺　円形木棺　人骨　銅銭　陶磁器類
13106012100,13106,121,かっぱばしどおりいせき,合羽橋通り遺跡,台東区 松が谷二丁目 松が谷三丁目,[近世],社寺・その他（道路・水路）,石組,近世陶磁器
13106012200,13106,122,,台東区№122遺跡,台東区 元浅草三丁目,[近世],社寺・その他（町屋）,墓坑,壺　人骨　桶　古銭等　陶磁器類
13106012300,13106,123,,台東区№123遺跡,台東区 東上野五丁目,[近世],社寺,土坑　基礎遺構,陶磁器類　木製品
13106012400,13106,124,,台東区№124遺跡,台東区 松が谷二丁目,近世,社寺,墓坑　甕棺　人骨,陶磁器
13106012500,13106,125,あさくさたかはらちょういせき,浅草高原町遺跡,台東区 寿二丁目,[中世][近世],包蔵地・社寺,建物基礎　井戸跡　墓坑　廃棄土坑等,近世陶磁器　墓標　金属製品　石製品人骨等
13106012600,13106,126,,台東区№126遺跡,台東区 寿二丁目,[近世],社寺・その他（町屋）,,
13106012700,13106,127,,台東区№127遺跡,台東区 浅草一丁目,[近世],その他（町屋）,,
13106012800,13106,128,,台東区№128遺跡,台東区 寿二丁目,近世,社寺,,墓石　陶磁器
13106012900,13106,129,,台東区№129遺跡,台東区 元浅草四丁目,近世,社寺,,
13106013000,13106,130,,台東区№130遺跡,台東区 西浅草二丁目,[近世],社寺,[近世]石組甕棺墓　方形木槨　甕棺墓　円形木棺墓,[近世]陶磁器　墓石　銭貨　木製品
13106013100,13106,131,,台東区№131遺跡,台東区 根岸三丁目,[近世],[近世]町屋,[近世]井戸跡　土壙,[近世]陶磁器　木製品
13106013200,13106,132,,台東区№132遺跡,台東区 松が谷二丁目,[近世],社寺,[近世]土坑,[近世]陶磁器　木製品
13106013300,13106,133,,台東区№133遺跡,台東区 東上野六丁目,[近世],社寺,[近世]墓坑,甕棺　円形木棺　蔵骨器　陶磁器　金属製品　木製品　人骨
13106013400,13106,134,,台東区№134遺跡,台東区 下谷二丁目,[近世],社寺,墓坑,蔵骨器　人骨
13106013500,13106,135,,台東区№135遺跡,台東区 元浅草一丁目,[近世],屋敷,,陶磁器類
13106013600,13106,136,,台東区№136遺跡,台東区 松が谷一丁目,[近世],社寺,墓坑（木棺・甕棺・蔵骨器）,人骨　陶磁器
